Fecha,Altura_de_Nieve_cm
2016-06-28,140.3104165395101
2016-06-29,139.78916803995767
2016-06-30,139.02458381652832
2016-07-01,138.40083376566568
2016-07-02,137.33624903361002
2016-07-03,136.4417386262313
2016-07-04,135.21762012300036
2016-07-05,134.28523835681733
2016-07-06,133.726086160411
2016-07-07,133.4033323923747
2016-07-08,133.22791735331217
2016-07-09,133.17208353678384
2016-07-10,134.680456681685
2016-07-11,155.01666514078775
2016-07-12,157.55125045776367
2016-07-13,156.19749959309897
2016-07-14,176.22136410799894
2016-07-15,173.25391421110734
2016-07-16,171.00958315531412
2016-07-17,169.32499885559082
2016-07-18,167.18708292643228
2016-07-19,165.9950008392334
2016-07-20,164.06541633605957
2016-07-21,163.17041651407877
2016-07-22,162.17041714986166
2016-07-23,160.94208335876465
2016-07-24,160.19583384195963
2016-07-25,191.3358325958252
2016-07-26,196.0852176832116
2016-07-27,193.9970817565918
2016-07-28,191.07416661580405
2016-07-29,190.0099976857504
2016-07-30,187.955415725708
2016-07-31,186.625
2016-08-01,184.11541620890296
2016-08-02,183.14416631062824
2016-08-03,182.09291776021325
2016-08-04,180.7270832061768
2016-08-05,179.13583374023438
2016-08-06,178.21125094095865
2016-08-07,177.47333272298178
2016-08-08,176.38624954223633
2016-08-09,175.3933359781901
2016-08-10,174.43374951680502
2016-08-11,173.9308344523112
2016-08-12,172.89291636149088
2016-08-13,172.12833468119302
2016-08-14,170.8178246539572
2016-08-15,169.8470827738444
2016-08-16,169.25041707356772
2016-08-17,168.56208356221518
2016-08-18,167.80125109354654
2016-08-19,167.43916702270508
2016-08-20,166.16125106811523
2016-08-21,165.0345834096273
2016-08-22,162.76347815472147
2016-08-23,160.44166692097983
2016-08-24,159.42291641235352
2016-08-25,157.81208419799805
2016-08-26,156.99250157674155
2016-08-27,157.1241652170817
2016-08-28,156.85999770391555
2016-08-29,155.892915725708
2017-01-01,0.0
2017-01-02,0.0
2017-01-03,0.0
2017-01-04,0.0
2017-01-05,0.0
2017-01-06,0.0
2017-01-07,0.0
2017-01-08,0.0
2017-01-09,0.0
2017-01-10,0.0
2017-01-11,0.0
2017-01-12,0.0
2017-01-13,0.0
2017-01-14,0.0
2017-01-15,0.0
2017-01-16,0.0
2017-01-17,0.0
2017-01-18,0.0
2017-01-19,0.0
2017-01-20,0.0
