Fecha,Temperatura_°C
2022-08-22,14.256
2022-08-23,14.773
2022-08-24,15.258
2022-08-25,14.81
2022-08-26,13.446
2022-08-27,12.381
2022-08-28,16.973
2022-08-29,17.658
2022-08-30,14.973
2022-08-31,8.74
2022-09-01,7.227
2022-09-02,13.681
2022-09-03,14.017
2022-09-04,15.481
2022-09-05,16.788
2022-09-06,16.846
2022-09-07,5.967
2022-09-08,4.229
2022-09-09,8.95
2022-09-10,12.198
2022-09-11,6.473
2022-09-12,10.393
2022-09-13,7.877
2022-09-14,11.721
2022-09-15,15.494
2022-09-16,12.942
2022-09-17,8.79
2022-09-18,8.568
2022-09-19,11.1
2022-09-20,6.99
2022-09-21,5.889
2022-09-22,11.098
2022-09-23,11.614
2022-09-24,9.093
2022-09-25,8.72
2022-09-26,10.798
2022-09-27,12.033
2022-09-28,15.342
2022-09-29,13.0
2022-09-30,16.075
2022-10-01,16.729
2022-10-02,18.019
2022-10-03,14.785
2022-10-04,11.075
2022-10-05,7.694
2022-10-06,10.698
2022-10-07,15.371
2022-10-08,11.904
2022-10-09,14.071
2022-10-10,11.177
2022-10-11,13.587
2022-10-12,14.029
2022-10-13,14.319
2022-10-14,15.46
2022-10-15,18.542
2022-10-16,15.535
2022-10-17,14.535
2022-10-18,12.652
2022-10-19,9.363
2022-10-20,13.492
2022-10-21,15.433
2022-10-22,17.546
2022-10-23,17.202
2022-10-24,17.788
2022-10-25,13.006
2022-10-26,13.1
2022-10-27,16.148
2022-10-28,15.56
2022-10-29,16.915
2022-10-30,13.831
2022-10-31,14.533
2022-11-01,21.981
2022-11-02,21.37
2022-11-03,19.146
2022-11-04,18.998
2022-11-05,18.433
2022-11-06,19.11
2022-11-07,20.843
2022-11-08,18.135
2022-11-09,12.808
2022-11-10,14.141
2022-11-11,11.737
2022-11-12,11.075
2022-11-13,12.322
2022-11-14,17.958
2022-11-15,22.208
2022-11-16,20.555
2022-11-17,20.104
2022-11-18,20.519
2022-11-19,18.698
2022-11-20,18.51
2022-11-21,17.677
2022-11-22,20.415
2022-11-23,21.427
2022-11-24,21.263
2022-11-25,22.421
2022-11-26,22.38
2022-11-27,22.046
2022-11-28,21.486
2022-11-29,18.342
2022-11-30,15.792
2022-12-01,17.138
2022-12-02,19.315
2022-12-03,19.927
2022-12-04,21.146
2022-12-05,20.673
2022-12-06,20.993
2022-12-07,21.259
2022-12-08,20.519
2022-12-09,20.315
2022-12-10,22.298
2022-12-11,23.427
2022-12-12,21.762
2022-12-13,21.896
2022-12-14,21.27
2022-12-15,22.415
2022-12-16,20.885
2022-12-17,18.546
