2017-12-26,,,,,,0.0,,,,0.0,0.0,,0.0,0.0,,,,,0.0,,0.0,0.0,,,,,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,,0.0,,,,,,,,,,,,,,,,0.7579999999999814,,3.9169999999999163,,0.34999999999990905,2.95799999999997,,,3.791999999999973,0.0,,,
2017-12-27,,,,,,0.0,,,,0.0,0.0,,0.0,0.0,,,,,0.0,,0.0,0.0,,0.0,,,0.0,,,,,,0.0,0.0,0.0,0.6999999999999886,0.0,,0.0,,,,,,,,,,,,,,,,0.03300000000001546,,0.8330000000000837,,0.0,0.02400000000000091,,,0.0,0.0,,,
2017-12-28,,,,,,0.0,,,,0.0,0.0,,0.0,1.8259999999999934,,,,,0.0,,0.0,0.0,,0.0,,,0.0,,,,,,0.0,0.0,0.0,1.5,0.0,,0.0,,,,,,,,,,,,,,,,0.08400000000000318,,0.0,,0.0,0.17600000000004457,,,0.0,0.0,,,
2017-12-29,,,,,,0.0,,,,0.0,0.0,,0.0,2.1740000000000066,,,,,0.0,,0.0,0.0,,0.0,,,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,,0.0,,,,,,,,,,,,,,,,2.319999999999993,,1.0830000000000837,,1.3170000000000073,0.45799999999997,,,0.7080000000000268,0.0,,,
2017-12-30,,,,,,0.0,,,,0.0,0.0,,0.0,0.0,,,,,0.0,,0.0,0.0,,2.5830000000000837,,,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,,3.1210000000000093,,,,,,,,,,,,,,,,1.0629999999999882,,0.9169999999999163,,0.6829999999999927,0.14200000000005275,,,1.1669999999999732,42.04,,,
2017-12-31,,,,,,0.0,,,,0.3039999999999736,0.0,,0.0,0.0,,,,,0.34199999999998454,,0.20800000000008367,0.021000000000000796,,2.2919999999999163,,,0.021000000000015007,,,,,,0.003999999999962256,0.021000000000015007,0.028999999999996362,0.24199999999999022,0.0,,2.179000000000002,,,,,,,,,,,,,,,,0.0,,0.0,,0.0,0.0,,,0.125,10.219999999999999,,,
2018-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4799999999999969,,,
2018-01-02,,,,,,,,,,,,,,,,8.333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,
2018-01-03,,,,,,0.0,,,,0.0,0.0,,0.1039999999999992,0.0,,0.0,,,0.0,,0.0,0.0,,,,,3.9379999999999997,,,,,,0.0,0.0,0.0,0.0,0.0,,0.0,,,,,,,,,,,,,,,,,,5.875,,2.548,3.4670000000000005,,,12.125,0.0,,,
2018-01-04,,,,,,0.0,,,,0.0,0.0,,0.0,0.0,,0.0,,,0.0,,0.0,0.0,,,,,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,,9.096,,,,,,,,,,,,,,,,,,5.458,,1.2519999999999998,1.9909999999999997,,,10.667000000000002,0.0,,,
